1,2,3,4,5,6,,,,,,,,
,INDIG,INDIGO IS Equity,INTERGLOBE AVIATION LTD,150,INDIG=Q5 is equity,INDIG=U5 is equity,INTERGLOBE AVIAT Aug25,INTERGLOBE AVIAT Sep25,BBG01V9XSL74,BBG01VT8QP34,150,150,5983
INDUSINDBK,IIB,IIB IS Equity,INDUSIND BANK LTD,700,IIB=Q5 is equity,IIB=U5 is equity,INDUSIND BANK Aug25,INDUSIND BANK Sep25,BBG01V9XSJ79,BBG01VT8QM59,700,700,777.6
INDUSTOWER,INDUS,INDUSTOW IS Equity,INDUS TOWERS LTD,1700,INDUS=Q5 is equity,INDUS=U5 is equity,INDUS TOWERS LTD Aug25,INDUS TOWERS LTD Sep25,BBG01V9XSKT2,BBG01VT8QNS2,1700,1700,333.45
INFY,INFO,INFO IS Equity,INFOSYS LTD,400,INFO=Q5 is equity,INFO=U5 is equity,Infosys Ltd Aug25,Infosys Ltd Sep25,BBG01V9XSGL9,BBG01VT8QK26,400,400,1455.5
,INXW,INXW IS Equity,INOX WIND LTD,3272,INXW=Q5 is equity,INXW=U5 is equity,INOX WIND LTD Aug25,INOX WIND LTD Sep25,BBG01V9XSF86,BBG01VT8QHR6,3272,3272,137.82
,IOCL,IOCL IS Equity,INDIAN OIL CORP LTD,4875,IOCL=Q5 is equity,IOCL=U5 is equity,Indian Oil Corp Aug25,Indian Oil Corp Sep25,BBG01V9XSJ15,BBG01VT8QLZ8,4875,4875,142.21
,IRB,IRB IS Equity,IRB INFRASTRUCTURE DEVELOPER,#N/A Invalid Security,IRB=Q5 is equity,NA,IRB INFRASTRUCTURE Aug25,#N/A Invalid Security,BBG01V9XSK58,#N/A Invalid Security,11675,#N/A Invalid Security,44.56
,IRCTC,IRCTC IS Equity,INDIAN RAILWAY CATERING & TO,875,IRCTC=Q5 is equity,IRCTC=U5 is equity,IRCTC LTD Aug25,IRCTC LTD Sep25,BBG01V9XSBW8,BBG01VT8QFB7,875,875,725.25
,IREDA,IREDA IS Equity,INDIAN RENEWABLE ENERGY DEVE,3450,IREDA=Q5 is equity,IREDA=U5 is equity,INDIAN RENEWABLE E Aug25,INDIAN RENEWABLE E Sep25,BBG01V9XSF59,BBG01VT8QHP8,3450,3450,143.58
,IRFC,IRFC IS Equity,INDIAN RAILWAY FINANCE CORP,4250,IRFC=Q5 is equity,IRFC=U5 is equity,INDIAN RAILWAY F Aug25,INDIAN RAILWAY F Sep25,BBG01V9XSCQ3,BBG01VT8QGM3,4250,4250,125.12
ITC,ITC,ITC IS Equity,ITC LTD,1600,ITC=Q5 is equity,ITC=U5 is equity,ITC Limited Aug25,ITC Limited Sep25,BBG01V9XSHN5,BBG01VT8QL15,1600,1600,414.25
JINDALSTEL,JSP,JSP IS Equity,JINDAL STEEL & POWER LTD,625,JSP=Q5 is equity,JSP=U5 is equity,JINDAL STEEL & P Aug25,JINDAL STEEL & P Sep25,BBG01V9XSJC3,BBG01VT8QM95,625,625,983.1
JIOFIN,JIOFI,JIOFIN IS Equity,JIO FINANCIAL SERVICES LTD,2350,JIOFI=Q5 is equity,JIOFI=U5 is equity,JIO FINANCIAL SE Aug25,JIO FINANCIAL SE Sep25,BBG01V9XSCR2,BBG01VT8QGN2,2350,2350,326.8
,JDSL,JDSL IS Equity,JINDAL STAINLESS LTD,#N/A Invalid Security,JDSL=Q5 is equity,NA,JINDAL STAINLESS Aug25,#N/A Invalid Security,BBG01V9XSCS1,#N/A Invalid Security,850,#N/A Invalid Security,719.35
JSWENERGY,JSW,JSW IS Equity,JSW ENERGY LTD,1000,JSW=Q5 is equity,JSW=U5 is equity,JSW ENERGY LTD Aug25,JSW ENERGY LTD Sep25,BBG01V9XSKB1,BBG01VT8QN93,1000,1000,532
,JSTL,JSTL IS Equity,JSW STEEL LTD,675,JSTL=Q5 is equity,JSTL=U5 is equity,JSW Steel Limited Aug25,JSW Steel Limited Sep25,BBG01V9XSGM8,BBG01VT8QK35,675,675,1050.3
JUBLFOOD,JUBI,JUBI IS Equity,JUBILANT FOODWORKS LTD,1250,JUBI=Q5 is equity,JUBI=U5 is equity,JUBILANT FOODWOR Aug25,JUBILANT FOODWOR Sep25,BBG01V9XSKC0,BBG01VT8QNB0,1250,1250,641
,KALYA,KALYANKJ IS Equity,KALYAN JEWELLERS INDIA LTD,1175,KALYA=Q5 is equity,KALYA=U5 is equity,KALYAN JEWELLERS Aug25,KALYAN JEWELLERS Sep25,BBG01V9XSCT0,BBG01VT8QGP0,1175,1175,523.3
,KEII,KEII IS Equity,KEI INDUSTRIES LTD,175,KEII=Q5 is equity,KEII=U5 is equity,KEI INDUS LTD Aug25,KEI INDUS LTD Sep25,BBG01V9XSCV7,BBG01VT8QGQ9,175,175,3767.4
KOTAKBANK,KMB,KMB IS Equity,KOTAK MAHINDRA BANK LTD,400,KMB=Q5 is equity,KMB=U5 is equity,Kotak Mahindra Bk Aug25,Kotak Mahindra Bk Sep25,BBG01V9XSGN7,BBG01VT8QK44,400,400,1994.4
,KPITT,KPITTECH IS Equity,KPIT TECHNOLOGIES LTD,400,KPITT=Q5 is equity,KPITT=U5 is equity,KPIT TECHNOLOGIE Aug25,KPIT TECHNOLOGIE Sep25,BBG01V9XSCX5,BBG01VT8QGR8,400,400,1219
,LAURU,LAURUS IS Equity,LAURUS LABS LTD,1700,LAURU=Q5 is equity,LAURU=U5 is equity,LAURUS LABS LTD Aug25,LAURUS LABS LTD Sep25,BBG01V9XSCC8,BBG01VT8QG98,1700,1700,874.45
,LICHF,LICHF IS Equity,LIC HOUSING FINANCE LTD,1000,LICHF=Q5 is equity,LICHF=U5 is equity,LIC Housing Fin Aug25,LIC Housing Fin Sep25,BBG01V9XSGP5,BBG01VT8QK53,1000,1000,564.6
,LICI,LICI IS Equity,LIFE INSURANCE CORPORATION,700,LICI=Q5 is equity,LICI=U5 is equity,LIC INSURANCE CO Aug25,LIC INSURANCE CO Sep25,BBG01V9XSCY4,BBG01VT8QGS7,700,700,888
,LODHA,LODHA IS Equity,LODHA DEVELOPERS LTD,450,LODHA=Q5 is equity,LODHA=U5 is equity,LODHA DEVELOPERS Aug25,LODHA DEVELOPERS Sep25,BBG01V9XSCZ3,BBG01VT8QGT6,450,450,1229.3
,LT,LT IS Equity,LARSEN & TOUBRO LTD,175,LT=Q5 is equity,LT=U5 is equity,Larsen & Toubro Aug25,Larsen & Toubro Sep25,BBG01V9XSH64,BBG01VT8QKM4,175,175,3678.8
,LTF,LTF IS Equity,L&T FINANCE LTD,4462,LTF=Q5 is equity,LTF=U5 is equity,L&T FINANCE HOLD Aug25,L&T FINANCE HOLD Sep25,BBG01V9XSKJ3,BBG01VT8QNJ2,4462,4462,200.44
,LTIM,LTIM IS Equity,LTIMINDTREE LTD,150,LTIM=Q5 is equity,LTIM=U5 is equity,LTIMindtree LTD Aug25,LTIMindtree LTD Sep25,BBG01V9XSB67,BBG01VT8QDX8,150,150,5167.5
,LPC,LPC IS Equity,LUPIN LTD,425,LPC=Q5 is equity,LPC=U5 is equity,Lupin Ltd Aug25,Lupin Ltd Sep25,BBG01V9XSGQ4,BBG01VT8QK62,425,425,1984.5
M&M,MM,MM IS Equity,MAHINDRA & MAHINDRA LTD,200,MM=Q5 is equity,MM=U5 is equity,MAHINDRA & MAHIN Aug25,MAHINDRA & MAHIN Sep25,BBG01V9XSH73,BBG01VT8QKN3,200,200,3287.5
,MGFL,MGFL IS Equity,MANAPPURAM FINANCE LTD,3000,MGFL=Q5 is equity,MGFL=U5 is equity,MANAPPURAM FINAN Aug25,MANAPPURAM FINAN Sep25,BBG01V9XSLL8,BBG01VT8QPV3,3000,3000,263.65
MARICO,MRCO,MRCO IS Equity,MARICO LTD,1200,MRCO=Q5 is equity,MRCO=U5 is equity,MARICO LTD Aug25,MARICO LTD Sep25,BBG01V9XSKV9,BBG01VT8QNT1,1200,1200,709.55
MARUTI,MSIL,MSIL IS Equity,MARUTI SUZUKI INDIA LTD,50,MSIL=Q5 is equity,MSIL=U5 is equity,Maruti Suzuki Aug25,Maruti Suzuki Sep25,BBG01V9XSJN1,BBG01VT8QML1,50,50,12899
,MAXHE,MAXHEALT IS Equity,MAX HEALTHCARE INSTITUTE LTD,525,MAXHE=Q5 is equity,MAXHE=U5 is equity,MAX HEALTHCARE I Aug25,MAX HEALTHCARE I Sep25,BBG01V9XSD09,BBG01VT8QGV3,525,525,1226.7
,MCX,MCX IS Equity,MULTI COMMODITY EXCH INDIA,125,MCX=Q5 is equity,MCX=U5 is equity,MCX INDIA LTD Aug25,MCX INDIA LTD Sep25,BBG01V9XSLF5,BBG01VT8QPC4,125,125,8185
MFSL,MAXF,MAXF IS Equity,MAX FINANCIAL SERVICES LTD,800,MAXF=Q5 is equity,MAXF=U5 is equity,MAX FINANCIAL SE Aug25,MAX FINANCIAL SE Sep25,BBG01V9XSL92,BBG01VT8QP52,800,800,1594
,MOTHE,MOTHERSO IS Equity,SAMVARDHANA MOTHERSON INTERN,6150,MOTHE=Q5 is equity,MOTHE=U5 is equity,SAMVARDHANA M. Aug25,SAMVARDHANA M. Sep25,BBG01V9XSKK1,BBG01VT8QNK0,6150,6150,92.32
MPHASIS,MPHL,MPHL IS Equity,MPHASIS LTD,275,MPHL=Q5 is equity,MPHL=U5 is equity,MPHASIS LTD Aug25,MPHASIS LTD Sep25,BBG01V9XSHZ2,BBG01VT8QLX0,275,275,2719.4
,MUTH,MUTH IS Equity,MUTHOOT FINANCE LTD,275,MUTH=Q5 is equity,MUTH=U5 is equity,MUTHOOT FINANCE Aug25,MUTHOOT FINANCE Sep25,BBG01V9XSL83,BBG01VT8QP43,275,275,2776.5
,NACL,NACL IS Equity,NATIONAL ALUMINIUM CO LTD,3750,NACL=Q5 is equity,NACL=U5 is equity,NATIONAL ALUMIN Aug25,NATIONAL ALUMIN Sep25,BBG01V9XSJ97,BBG01VT8QM77,3750,3750,187.2
NAUKRI,INFOE,INFOE IS Equity,INFO EDGE INDIA LTD,375,INFOE=Q5 is equity,INFOE=U5 is equity,Info Edge India Aug25,Info Edge India Sep25,BBG01V9XSB94,BBG01VT8QF18,375,375,1363.9
,NBCC,NBCC IS Equity,NBCC INDIA LTD,6500,NBCC=Q5 is equity,NBCC=U5 is equity,NBCC INDIA LTD Aug25,NBCC INDIA LTD Sep25,BBG01V9XSLC8,BBG01VT8QP70,6500,6500,103.91
,NJCC,NJCC IS Equity,NCC LTD,2700,NJCC=Q5 is equity,NJCC=U5 is equity,NCC LTD Aug25,NCC LTD Sep25,BBG01V9XSGR3,BBG01VT8QK71,2700,2700,218.37
NESTLEIND,NEST,NEST IS Equity,NESTLE INDIA LTD,500,NEST=Q5 is equity,NEST=U5 is equity,NESTLE INDIA LTD Aug25,NESTLE INDIA LTD Sep25,BBG01V9XSLG4,BBG01VT8QPD3,500,500,1099.9
,NHPC,NHPC IS Equity,NHPC LTD,6400,NHPC=Q5 is equity,NHPC=U5 is equity,NHPC Limited Aug25,NHPC Limited Sep25,BBG01V9XSK85,BBG01VT8QN75,6400,6400,83.36
,NMDC,NMDC IS Equity,NMDC LTD,13500,NMDC=Q5 is equity,NMDC=U5 is equity,NMDC Limited Aug25,NMDC Limited Sep25,BBG01V9XSJ06,BBG01VT8QLY9,13500,13500,69.4
,NTPC,NTPC IS Equity,NTPC LTD,1500,NTPC=Q5 is equity,NTPC=U5 is equity,NTPC Limited Aug25,NTPC Limited Sep25,BBG01V9XSJV2,BBG01VT8QMT3,1500,1500,337.3
,NYKAA,NYKAA IS Equity,FSN E-COMMERCE VENTURES LTD,3125,NYKAA=Q5 is equity,NYKAA=U5 is equity,FSN E-COMMERCE V Aug25,FSN E-COMMERCE V Sep25,BBG01V9XSD81,BBG01VT8QH69,3125,3125,210.37
OBEROIRLTY,OBER,OBER IS Equity,OBEROI REALTY LTD,350,OBER=Q5 is equity,OBER=U5 is equity,OBEROI REALTY LTD Aug25,OBEROI REALTY LTD Sep25,BBG01V9XSC92,BBG01VT8QG70,350,350,1624
,OFSS,OFSS IS Equity,ORACLE FINANCIAL SERVICES,75,OFSS=Q5 is equity,OFSS=U5 is equity,Oracle Financial Aug25,Oracle Financial Sep25,BBG01V9XSJJ6,BBG01VT8QMG7,75,75,8622
,OINL,OINL IS Equity,OIL INDIA LTD,1400,OINL=Q5 is equity,OINL=U5 is equity,Oil India Ltd Aug25,Oil India Ltd Sep25,BBG01V9XSK94,BBG01VT8QN84,1400,1400,398.05
,ONGC,ONGC IS Equity,OIL & NATURAL GAS CORP LTD,2250,ONGC=Q5 is equity,ONGC=U5 is equity,OIL & NATURAL GA Aug25,OIL & NATURAL GA Sep25,BBG01V9XSGV8,BBG01VT8QK99,2250,2250,236.05
,PAG,PAG IS Equity,PAGE INDUSTRIES LTD,15,PAG=Q5 is equity,PAG=U5 is equity,Page Industries Aug25,Page Industries Sep25,BBG01V9XSKR4,BBG01VT8QNQ4,15,15,43560
,PATAN,PATANJAL IS Equity,PATANJALI FOODS LTD,300,PATAN=Q5 is equity,PATAN=U5 is equity,PATANJALI FOODS Aug25,PATANJALI FOODS Sep25,BBG01V9XSF31,BBG01VT8QHM1,300,300,1788.7
,PAYTM,PAYTM IS Equity,ONE 97 COMMUNICATIONS LTD,725,PAYTM=Q5 is equity,PAYTM=U5 is equity,ONE 97 COMMUNICA Aug25,ONE 97 COMMUNICA Sep25,BBG01V9XSD90,BBG01VT8QH78,725,725,1148.5
PERSISTENT,PSYS,PSYS IS Equity,PERSISTENT SYSTEMS LTD,100,PSYS=Q5 is equity,PSYS=U5 is equity,PERSISTENT SYS Aug25,PERSISTENT SYS Sep25,BBG01V9XSCB9,BBG01VT8QG89,100,100,5282.5
,PLNG,PLNG IS Equity,PETRONET LNG LTD,1800,PLNG=Q5 is equity,PLNG=U5 is equity,Petronet LNG Ltd Aug25,Petronet LNG Ltd Sep25,BBG01V9XSJQ8,BBG01VT8QMN9,1800,1800,274.75
PFC,POWF,POWF IS Equity,POWER FINANCE CORPORATION,1300,POWF=Q5 is equity,POWF=U5 is equity,POWER FINANCE Aug25,POWER FINANCE Sep25,BBG01V9XSJZ8,BBG01VT8QMY7,1300,1300,412.55
,PHNX,PHNX IS Equity,PHOENIX MILLS LTD,350,PHNX=Q5 is equity,PHNX=U5 is equity,PHOENIX MILLS LTD Aug25,PHOENIX MILLS LTD Sep25,BBG01V9XSDM5,BBG01VT8QHH7,350,350,1434
PIDILITIND,PIDI,PIDI IS Equity,PIDILITE INDUSTRIES LTD,250,PIDI=Q5 is equity,PIDI=U5 is equity,PIDILITE INDS Aug25,PIDILITE INDS Sep25,BBG01V9XSKP6,BBG01VT8QNP5,250,250,3074.6
PIIND,PI,PI IS Equity,PI INDUSTRIES LTD,175,PI=Q5 is equity,PI=U5 is equity,PI INDUSTRIES LTD Aug25,PI INDUSTRIES LTD Sep25,BBG01V9XSBX7,BBG01VT8QFD5,175,175,3768.4
,PNB,PNB IS Equity,PUNJAB NATIONAL BANK,8000,PNB=Q5 is equity,PNB=U5 is equity,Punjab Natl Bank Aug25,Punjab Natl Bank Sep25,BBG01V9XSJH8,BBG01VT8QMF8,8000,8000,106.25
PNBHOUSING,PNBHO,PNBHOUSI IS Equity,PNB HOUSING FINANCE LTD,650,PNBHO=Q5 is equity,PNBHO=U5 is equity,PNB HOUSING FIN Aug25,PNB HOUSING FIN Sep25,BBG01V9XSB58,BBG01VT8QDW9,650,650,774.1
,POLIC,POLICYBZ IS Equity,PB FINTECH LTD,350,POLIC=Q5 is equity,POLIC=U5 is equity,PB FINTECH LTD Aug25,PB FINTECH LTD Sep25,BBG01V9XSDB7,BBG01VT8QH87,350,350,1843.6
,POLYC,POLYCAB IS Equity,POLYCAB INDIA LTD,125,POLYC=Q5 is equity,POLYC=U5 is equity,POLYCAB INDIA LTD Aug25,POLYCAB INDIA LTD Sep25,BBG01V9XSC56,BBG01VT8QG25,125,125,6931
,POONA,POONAWAL IS Equity,POONAWALLA FINCORP LTD,#N/A Invalid Security,POONA=Q5 is equity,NA,POONAWALLA FINCO Aug25,#N/A Invalid Security,BBG01V9XSDD5,#N/A Invalid Security,1700,#N/A Invalid Security,460.45
,PWGR,PWGR IS Equity,POWER GRID CORP OF INDIA LTD,1900,PWGR=Q5 is equity,PWGR=U5 is equity,Power Grid Corp Aug25,Power Grid Corp Sep25,BBG01V9XSK30,BBG01VT8QN39,1900,1900,287.9
,PEPL,PEPL IS Equity,PRESTIGE ESTATES PROJECTS,450,PEPL=Q5 is equity,PEPL=U5 is equity,PRESTIGE ESTATES Aug25,PRESTIGE ESTATES Sep25,BBG01V9XSDF3,BBG01VT8QH96,450,450,1611.8
,RBK,RBK IS Equity,RBL BANK LTD,3175,RBK=Q5 is equity,RBK=U5 is equity,RBL BANK LTD Aug25,RBL BANK LTD Sep25,BBG01V9XSLJ1,BBG01VT8QPL4,3175,3175,256.75
RECLTD,RECL,RECL IS Equity,REC LTD,1275,RECL=Q5 is equity,RECL=U5 is equity,Rural Electri Aug25,Rural Electri Sep25,BBG01V9XSK67,BBG01VT8QN57,1275,1275,383.1
,RIL,RELIANCE IS Equity,RELIANCE INDUSTRIES LTD,500,RIL=Q5 is equity,RIL=U5 is equity,Reliance Industry Aug25,Reliance Industry Sep25,BBG01V9XSGW7,BBG01VT8QKB6,500,500,1381.3
,SAIL,SAIL IS Equity,STEEL AUTHORITY OF INDIA,4700,SAIL=Q5 is equity,SAIL=U5 is equity,Steel Authority Aug25,Steel Authority Sep25,BBG01V9XSGC9,BBG01VT8QJW6,4700,4700,121.64
,SBICA,SBICARD IS Equity,SBI CARDS & PAYMENT SERVICES,800,SBICA=Q5 is equity,SBICA=U5 is equity,SBI CARDS & PAYM Aug25,SBI CARDS & PAYM Sep25,BBG01V9XSCD7,BBG01VT8QGB5,800,800,792
,SBILI,SBILIFE IS Equity,SBI LIFE INSURANCE CO LTD,375,SBILI=Q5 is equity,SBILI=U5 is equity,SBI LIFE INSURAN Aug25,SBI LIFE INSURAN Sep25,BBG01V9XSBD9,BBG01VT8QF45,375,375,1852.1
,SBIN,SBIN IS Equity,STATE BANK OF INDIA,750,SBIN=Q5 is equity,SBIN=U5 is equity,State Bank India Aug25,State Bank India Sep25,BBG01V9XSGB0,BBG01VT8QJV7,750,750,825.7
,SRCM,SRCM IS Equity,SHREE CEMENT LTD,25,SRCM=Q5 is equity,SRCM=U5 is equity,SHREE CEMENT Aug25,SHREE CEMENT Sep25,BBG01V9XSLB9,BBG01VT8QP61,25,25,30595
SHRIRAMFIN,SHFL,SHFL IS Equity,SHRIRAM FINANCE LTD,825,SHFL=Q5 is equity,SHFL=U5 is equity,Shriram Finance Aug25,Shriram Finance Sep25,BBG01V9XSHR1,BBG01VT8QL33,825,825,616.45
,SIEM,SIEM IS Equity,SIEMENS LTD,125,SIEM=Q5 is equity,SIEM=U5 is equity,Siemens India Ltd Aug25,Siemens India Ltd Sep25,BBG01V9XSHC7,BBG01VT8QKR9,125,125,3144
,SJVN,SJVN IS Equity,SJVN LTD,#N/A Invalid Security,SJVN=Q5 is equity,NS,SJVN LTD Aug25,#N/A Invalid Security,BBG01V9XSDG2,#N/A Invalid Security,5875,#N/A Invalid Security,92.35
,SOIL,SOIL IS Equity,SOLAR INDUSTRIES INDIA LTD,75,SOIL=Q5 is equity,SOIL=U5 is equity,SOLAR INDUSTRIES Aug25,SOLAR INDUSTRIES Sep25,BBG01V9XSDN4,BBG01VT8QHK3,75,75,15003
,SONAC,SONACOMS IS Equity,SONA BLW PRECISION FORGINGS,1050,SONAC=Q5 is equity,SONAC=U5 is equity,SONA BLW PRECISI Aug25,SONA BLW PRECISI Sep25,BBG01V9XSDH1,BBG01VT8QHB3,1050,1050,446.95
,SRF,SRF IS Equity,SRF LTD,200,SRF=Q5 is equity,SRF=U5 is equity,SRF Ltd Aug25,SRF Ltd Sep25,BBG01V9XSKS3,BBG01VT8QNR3,200,200,2841.6
,SUNP,SUNP IS Equity,SUN PHARMACEUTICAL INDUS,350,SUNP=Q5 is equity,SUNP=U5 is equity,Sun Pharma Ind. Aug25,Sun Pharma Ind. Sep25,BBG01V9XSHW5,BBG01VT8QLV2,350,350,1646.5
,SI,SI IS Equity,SUPREME INDUSTRIES LTD,175,SI=Q5 is equity,SI=U5 is equity,SUPREME INDUSTRIES Aug25,SUPREME INDUSTRIES Sep25,BBG01V9XSCH3,BBG01VT8QGF1,175,175,4313.9
,SYNG,SYNG IS Equity,SYNGENE INTERNATIONAL LTD,1000,SYNG=Q5 is equity,SYNG=U5 is equity,SYNGENE INTNL LTD Aug25,SYNGENE INTNL LTD Sep25,BBG01V9XSC65,BBG01VT8QG34,1000,1000,663.5
,TTCH,TTCH IS Equity,TATA CHEMICALS LTD,650,TTCH=Q5 is equity,TTCH=U5 is equity,TATA CHEMICALS Aug25,TATA CHEMICALS Sep25,BBG01V9XSHH2,BBG01VT8QKW3,650,650,938.75
TATACONSUM,TATAC,TATACONS IS Equity,TATA CONSUMER PRODUCTS LTD,550,TATAC=Q5 is equity,TATAC=U5 is equity,Tata Cons Prod Aug25,Tata Cons Prod Sep25,BBG01V9XSHJ0,BBG01VT8QKX2,550,550,1058.3
,TELX,TELX IS Equity,TATA ELXSI LTD,100,TELX=Q5 is equity,TELX=U5 is equity,TATA ELXSI LTD Aug25,TATA ELXSI LTD Sep25,BBG01V9XSL01,BBG01VT8QNZ4,100,100,5675
,TTMT,TTMT IS Equity,TATA MOTORS LTD,800,TTMT=Q5 is equity,TTMT=U5 is equity,Tata Motors Ltd Aug25,Tata Motors Ltd Sep25,BBG01V9XSHD6,BBG01VT8QKS8,800,800,660.15
,TPWR,TPWR IS Equity,TATA POWER CO LTD,1450,TPWR=Q5 is equity,TPWR=U5 is equity,TATA POWER CO Aug25,TATA POWER CO Sep25,BBG01V9XSGX6,BBG01VT8QKC5,1450,1450,385.2
TATASTEEL,TATA,TATA IS Equity,TATA STEEL LTD,5500,TATA=Q5 is equity,TATA=U5 is equity,TATA STEEL LTD Aug25,TATA STEEL LTD Sep25,BBG01V9XSH19,BBG01VT8QKH0,5500,5500,157.2
,TATAT,TATATECH IS Equity,TATA TECHNOLOGIES CO,800,TATAT=Q5 is equity,TATAT=U5 is equity,TATATECH Aug25,TATATECH Sep25,BBG01V9XSF77,BBG01VT8QHQ7,800,800,667.9
,TCS,TCS IS Equity,TATA CONSULTANCY SVCS LTD,175,TCS=Q5 is equity,TCS=U5 is equity,Tata Consultancy Aug25,Tata Consultancy Sep25,BBG01V9XSJT5,BBG01VT8QMR5,175,175,3047.8
